username,timestamp_text,comment_text,cleaned_tokens
@UntamedNatureHub83,3 weeks ago,"What an absolutely beautiful and emotional short documentary! 🦓✨
BBC Earth always has a special way of capturing the soul of wildlife, but this zebra journey feels particularly touching. The way the team follows her through danger, migration, and finally forming her own family is incredibly moving.

The cinematography is stunning — every frame feels like a painting, from the dusty plains to the gentle close-ups that reveal her courage and resilience. 🌍💛
It’s amazing how you can portray not just survival, but also hope, connection, and the quiet strength of an animal often overlooked.

Thank you for telling these powerful stories with respect, beauty, and heart. Truly inspiring work! 👏📽🌿","['absolutely', 'beautiful', 'emotional', 'short', 'documentary', 'bbc', 'earth', 'always', 'special', 'way', 'capturing', 'soul', 'wildlife', 'zebra', 'journey', 'feel', 'particularly', 'touching', 'way', 'team', 'follows', 'danger', 'migration', 'finally', 'forming', 'family', 'incredibly', 'moving', 'cinematography', 'stunning', 'every', 'frame', 'feel', 'like', 'painting', 'dusty', 'plain', 'gentle', 'closeup', 'reveal', 'courage', 'resilience', 'amazing', 'portray', 'survival', 'also', 'hope', 'connection', 'quiet', 'strength', 'animal', 'often', 'overlooked', 'thank', 'telling', 'powerful', 'story', 'respect', 'beauty', 'heart', 'truly', 'inspiring', 'work']"
@DailyShelter,1 month ago,It’s a nice wildlife video. Greetings from Botswana 😊,"['nice', 'wildlife', 'video', 'greeting', 'botswana']"
@FlightVectorLogic,1 month ago,It's a good thing the team's aircraft served a purpose for quick communication and a location isolating system.,"['good', 'thing', 'team', 'aircraft', 'served', 'purpose', 'quick', 'communication', 'location', 'isolating', 'system']"
@NineDaysinEden,1 month ago,"Beautiful footage — it’s incredible to see the Nxai Pan zebra migration from the air. I filmed and photographed the same migration for my short video “Zebra Odyssey: Botswana’s Great Summer Migration,” capturing it from ground level. Seeing both perspectives really brings this journey to life.","['beautiful', 'footage', 'incredible', 'see', 'nxai', 'pan', 'zebra', 'migration', 'air', 'filmed', 'photographed', 'migration', 'short', 'video', 'zebra', 'odyssey', 'botswana', 'great', 'summer', 'migration', 'capturing', 'ground', 'level', 'seeing', 'perspective', 'really', 'brings', 'journey', 'life']"
@leonardosolis616,1 month ago,"Hey BBC Earth channel, upload more videos of Tigers, Elephants, Lions, and Crocodiles, those are good and I like them.","['hey', 'bbc', 'earth', 'channel', 'upload', 'video', 'tiger', 'elephant', 'lion', 'crocodile', 'good', 'like']"
@juliematovu3506,1 month ago,This is very interesting and impressive. Thanks for the documentary.,"['interesting', 'impressive', 'thanks', 'documentary']"
@onodjeedirin,1 month ago,j,[]
@Mianabdullah-z4s,1 month ago,Hfrvr the h,['hfrvr']
@itsme-x6s3e,1 month ago,0,[]
@WildlifeWorld8386,1 month ago,"It's so exciting to find out things that even zebras don't know, nature always has a way of surprising us! 🌍","['exciting', 'find', 'thing', 'even', 'zebra', 'dont', 'know', 'nature', 'always', 'way', 'surprising']"
@animalAIscience,1 month ago,"What an incredible journey! 🦓 Watching these zebras fight through danger, stick together, and keep moving is such a powerful reminder of nature’s resilience and family bonds. BBC Earth never fails to capture the beauty and struggle of life in the wild. Truly inspiring!","['incredible', 'journey', 'watching', 'zebra', 'fight', 'danger', 'stick', 'together', 'keep', 'moving', 'powerful', 'reminder', 'nature', 'resilience', 'family', 'bond', 'bbc', 'earth', 'never', 'fails', 'capture', 'beauty', 'struggle', 'life', 'wild', 'truly', 'inspiring']"
@unevenkeel,1 month ago,The algorithm brought me here. Now it better bring people to my channel too 🙋‍♂️,"['algorithm', 'brought', 'better', 'bring', 'people', 'channel']"
@VidaAnimal-TV,1 month ago,"Impresionante documental, muestra la belleza y los desafíos reales de la vida salvaje africana.","['impresionante', 'documental', 'muestra', 'belleza', 'los', 'desafos', 'real', 'vida', 'salvaje', 'africana']"
@blucat4,1 month ago,"No painkillers out there, no bandages. You either manage to stay alive or you don't. No restaurants for the lions either. Nature is beautiful but also brutal.","['painkiller', 'bandage', 'either', 'manage', 'stay', 'alive', 'dont', 'restaurant', 'lion', 'either', 'nature', 'beautiful', 'also', 'brutal']"
@pityajames,1 month ago (edited),The beauty of Zebra is in its strength and understanding. A Zebra would always defend its loved ones as opposed to the way other animals behave.,"['beauty', 'zebra', 'strength', 'understanding', 'zebra', 'would', 'always', 'defend', 'loved', 'one', 'opposed', 'way', 'animal', 'behave']"
@davidbulla5128,1 month ago,Thanks,['thanks']
@MandlaDube-y5j,1 month ago,"White, strip when u step it u   kill the  nation when u  step in the black striped  u kill the nation ❤❤❤ mtima nyamazane ka khushu❤","['white', 'strip', 'step', 'kill', 'nation', 'step', 'black', 'striped', 'kill', 'nation', 'mtima', 'nyamazane', 'khushu']"
@WildlifeLegends96,1 month ago,A breathtaking journey of endurance and survival in the wild! 🦓🌍🔥,"['breathtaking', 'journey', 'endurance', 'survival', 'wild']"
@야생매,1 month ago,I can’t believe how far the zebra travels just to survive… nature’s great migrations are both beautiful and cruel at the same time.,"['cant', 'believe', 'far', 'zebra', 'travel', 'survive', 'nature', 'great', 'migration', 'beautiful', 'cruel', 'time']"
@jürgensenke,1 month ago,Interessantes Video. Gruß Jürgen 🤠,"['interessantes', 'video', 'gru', 'jrgen']"
@동물의왕국DC,1 month ago,This is the Earth at its finest. May we be wise enough to preserve it for those who come after us. 🌿,"['earth', 'finest', 'may', 'wise', 'enough', 'preserve', 'come']"
@naturesmomentstv,1 month ago,"This whole journey is insane, but the Socks storyline is chef's kiss. Losing the GPS, finding the faint signal, and then seeing that tiny newborn foal—I literally yelled, ""YES!"" What an absolute warrior. Do you think the new baby scent made her a bigger target right after the birth?","['whole', 'journey', 'insane', 'sock', 'storyline', 'chef', 'kiss', 'losing', 'gps', 'finding', 'faint', 'signal', 'seeing', 'tiny', 'newborn', 'foali', 'literally', 'yelled', 'yes', 'absolute', 'warrior', 'think', 'new', 'baby', 'scent', 'made', 'bigger', 'target', 'right', 'birth']"
@Enigma24K-j4e,1 month ago,Interesting that the video suddenly stopped.,"['interesting', 'video', 'suddenly', 'stopped']"
@zahirmurji,1 month ago,I hope the baby Zebra heals.,"['hope', 'baby', 'zebra', 'heals']"
@WildUs-x7s,1 month ago,"Can we take a moment to appreciate how researchers track every heartbeat of this migration? Absolutely fascinating.
When nature writes its own endings, they’re always perfect. That tiny foal was worth every mile.","['take', 'moment', 'appreciate', 'researcher', 'track', 'every', 'heartbeat', 'migration', 'absolutely', 'fascinating', 'nature', 'writes', 'ending', 'theyre', 'always', 'perfect', 'tiny', 'foal', 'worth', 'every', 'mile']"
