caption_sentence,cleaned_tokens
"[Music] The morning after the heavy rains, the The morning after the heavy rains, the The morning after the heavy rains, the zebra start to arrive.","['music', 'morning', 'heavy', 'rain', 'morning', 'heavy', 'rain', 'morning', 'heavy', 'rain', 'zebra', 'start', 'arrive']"
zebra start to arrive.,"['zebra', 'start', 'arrive']"
zebra start to arrive.,"['zebra', 'start', 'arrive']"
Janet's family is the first to be seen Janet's family is the first to be seen Janet's family is the first to be seen by the team.,"['janets', 'family', 'first', 'seen', 'janets', 'family', 'first', 'seen', 'janets', 'family', 'first', 'seen', 'team']"
She was the first zebra ever recorded to She was the first zebra ever recorded to She was the first zebra ever recorded to make this migration.,"['first', 'zebra', 'ever', 'recorded', 'first', 'zebra', 'ever', 'recorded', 'first', 'zebra', 'ever', 'recorded', 'make', 'migration']"
"And once again, make this migration.","['make', 'migration']"
"And once again, make this migration.","['make', 'migration']"
"And once again, she's arrived just in time to enjoy the she's arrived just in time to enjoy the she's arrived just in time to enjoy the tender new grass shoots.","['shes', 'arrived', 'time', 'enjoy', 'shes', 'arrived', 'time', 'enjoy', 'shes', 'arrived', 'time', 'enjoy', 'tender', 'new', 'grass', 'shoot']"
tender new grass shoots.,"['tender', 'new', 'grass', 'shoot']"
tender new grass shoots.,"['tender', 'new', 'grass', 'shoot']"
"[Music] [Music] [Music] In Chobi, Janet was part of a large In Chobi, Janet was part of a large In Chobi, Janet was part of a large family group of 15, but now there seems family group of 15, but now there seems family group of 15, but now there seems to be only five.","['music', 'music', 'music', 'chobi', 'janet', 'part', 'large', 'chobi', 'janet', 'part', 'large', 'chobi', 'janet', 'part', 'large', 'family', 'group', 'seems', 'family', 'group', 'seems', 'family', 'group', 'seems', 'five']"
"Hopefully, the rest of her haven't Hopefully, the rest of her haven't Hopefully, the rest of her haven't succumbed to exhaustion or predation.","['hopefully', 'rest', 'havent', 'hopefully', 'rest', 'havent', 'hopefully', 'rest', 'havent', 'succumbed', 'exhaustion', 'predation']"
