Pair,Count
"('animal', 'zebra')",5
"('bbc', 'earth')",5
"('beautiful', 'zebra')",5
"('journey', 'zebra')",5
"('migration', 'zebra')",4
"('way', 'zebra')",4
"('nature', 'zebra')",4
"('always', 'animal')",3
"('always', 'beauty')",3
"('always', 'way')",3
"('always', 'zebra')",3
"('animal', 'beautiful')",3
"('animal', 'beauty')",3
"('animal', 'story')",3
"('animal', 'survival')",3
"('bbc', 'zebra')",3
"('beautiful', 'migration')",3
"('beauty', 'zebra')",3
"('danger', 'journey')",3
"('danger', 'zebra')",3
"('earth', 'zebra')",3
"('hope', 'zebra')",3
"('journey', 'migration')",3
"('journey', 'moving')",3
"('journey', 'survival')",3
"('like', 'zebra')",3
"('moving', 'zebra')",3
"('story', 'zebra')",3
"('never', 'zebra')",3
"('beautiful', 'nature')",3
"('migration', 'nature')",3
